country,shop_id,item_id
sg,299390717,24972477580
sg,299390717,7848117581
sg,299390717,7278324847
sg,299390717,8511464835
sg,299390717,14214285135
sg,299390717,5177917476
sg,299390717,24158558104
sg,299390717,3477989621
sg,299390717,8511831015
sg,299390717,3978044256
sg,299390717,7177906459
sg,299390717,7078319265
sg,299390717,6677589679
sg,299390717,29471782987
sg,299390717,12358525916
sg,299390717,9611819594
sg,299390717,4677614671
sg,299390717,5078315328
sg,299390717,4378327198
sg,299390717,3678412960
sg,299390717,6777915418
sg,299390717,6878306603
sg,299390717,9411847808
sg,299390717,28966954910
sg,299390717,15818664782
sg,299390717,15414332904
sg,299390717,26671792868
sg,299390717,3277764157
sg,299390717,6677897284
sg,299390717,28571788023
sg,299390717,3677988482
sg,478113890,24157861372
sg,478113890,11329832739
sg,478113890,11129832901
sg,478113890,43372220553
sg,478113890,28421409034
sg,478113890,40873001539
sg,478113890,10029829259
sg,478113890,18692005773
sg,478113890,18040406509
sg,478113890,25097271509
sg,478113890,23102051000
sg,478113890,28342546023
sg,478113890,10729829046
sg,478113890,21893776863
sg,478113890,41319323599
sg,478113890,22641433519
sg,478113890,43522752927
sg,478113890,24757655179
sg,478113890,42767395768
sg,478113890,14999214077
sg,478113890,43022756690
sg,478113890,25215567836
sg,478113890,43072753078
sg,478113890,55156683801
sg,478113890,25757610152
sg,478113890,43822211304
sg,478113890,22375517993
sg,478113890,41330347198
sg,478113890,40630347316
sg,478113890,49210502454
sg,478113890,11429832758
sg,478113890,19894559597
sg,478113890,42472204111
sg,478113890,41622211976
sg,478113890,43372212281
sg,478113890,10429829109
sg,478113890,10829832715
sg,478113890,41622204033
sg,478113890,10529832935
sg,478113890,10729832844
sg,478113890,11229832775
sg,478113890,10629829101
sg,478113890,2990415441
sg,478113890,22566923891
sg,478113890,20304340368
sg,478113890,25896996721
sg,478113890,41022228773
sg,478113890,10529832802
sg,478113890,11029832834
sg,478113890,43822207965
sg,478113890,44372199646
sg,478113890,26492389515
sg,478113890,21355347061
sg,478113890,11329833031
sg,478113890,42879003744
sg,478113890,21693566291
sg,478113890,42222204298
sg,478113890,25407631740
sg,478113890,42222199608
sg,478113890,44022748690
sg,478113890,46209434755
sg,478113890,56609419365
sg,478113890,55159419266
sg,478113890,18441330663
sg,478113890,45109450136
sg,478113890,46509444070
sg,478113890,10329828955
sg,478113890,10829833066
sg,478113890,17189418711
sg,478113890,10329833045
sg,478113890,19194991526
sg,478113890,11029833050
sg,478113890,10529829259
sg,478113890,22284423034
sg,478113890,20554440321
sg,478113890,10429832915
sg,478113890,10729832968
sg,478113890,43572211452
sg,478113890,10929828960
sg,478113890,10129829205
sg,478113890,9690081410
sg,478113890,24007656926
sg,478113890,10429828933
sg,478113890,44122744486
sg,478113890,10529829043
sg,478113890,10829832970
sg,478113890,41222198832
sg,478113890,22781618782
sg,478113890,48360503197
sg,478113890,28592550561
sg,478113890,45206707407
sg,478113890,10829828963
sg,478113890,11029832755
sg,478113890,22775516318
sg,478113890,42569324062
sg,478113890,18493579087
sg,452270498,8565066235
sg,452270498,21923076072
sg,452270498,9165049074
sg,452270498,23278235342
sg,452270498,11210251196
sg,452270498,27654380186
sg,452270498,18115104903
sg,452270498,11610251047
sg,452270498,20623072284
